"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","label"
0.292,0.246,0,-9.758,1,0.033,0.913,0.0883,0.209,0.249,140.316,197613,4,like
0.466,0.657,3,-6.379,0,0.217,0.00758,0.00115,0.344,0.659,139.809,220307,4,dislike
0.571,0.479,7,-7.732,1,0.0257,0.764,0.00945,0.167,0.312,111.966,263413,4,like
0.634,0.674,5,-9.75,0,0.037,0.316,0,0.139,0.523,124.001,271853,4,like
0.328,0.607,2,-11.076,1,0.0315,0.319,0,0.765,0.395,146.539,213880,3,like
0.646,0.665,6,-7.878,1,0.0268,0.326,1.97e-05,0.238,0.7,143.966,241027,4,dislike
0.585,0.717,4,-10.293,0,0.0378,0.0662,2.87e-05,0.0945,0.532,105.505,169533,4,like
0.452,0.179,9,-11.165,1,0.0824,0.899,0,0.178,0.103,121.488,268867,4,like
0.375,0.199,2,-10.427,1,0.0362,0.852,0,0.0897,0.222,107.161,246640,3,like
0.374,0.943,6,-4.108,0,0.0556,0.000175,0.000156,0.125,0.338,112.084,333827,4,dislike
0.504,0.0241,2,-18.841,1,0.0361,0.962,0.784,0.162,0.115,124.644,218267,4,like
0.233,0.0198,2,-27.473,1,0.0427,0.976,0.112,0.0651,0.0549,96.966,390573,4,like
0.584,0.428,5,-14.283,1,0.0293,0.829,0.848,0.107,0.593,111.57,139067,4,like
0.426,0.184,2,-20.518,0,0.0405,0.835,0.0107,0.27,0.754,157.66,163373,3,like
0.859,0.756,8,-3.36,0,0.0643,0.168,4.65e-05,0.163,0.91,102.033,195613,4,dislike
0.836,0.718,10,-4.56,0,0.0581,0.0633,2.35e-05,0.0884,0.342,99.016,171013,4,dislike
0.377,0.438,0,-9.703,1,0.0283,0.785,0,0.111,0.14,80.686,189800,3,like
0.541,0.854,2,-6.196,1,0.155,0.0254,0.000125,0.651,0.454,86.044,205200,4,dislike
0.666,0.948,10,-2.776,1,0.0638,0.137,0,0.192,0.523,100.996,211931,4,dislike
0.765,0.857,6,-3.811,0,0.0495,0.000969,0.67,0.131,0.525,127.041,221797,3,like
0.58,0.101,10,-15.661,1,0.0289,0.934,0.000302,0.0768,0.302,91.003,187427,3,like
0.613,0.854,4,-4.512,1,0.0664,0.208,0.000127,0.132,0.816,145.937,260670,4,like
